ID	ProteinID	Function 	Localization
324	Q8TCT9	Catalyzes intramembrane proteolysis of signal peptides that have been removed from precursors of secretory and membrane proteins, resulting in the release of the fragment from the ER membrane into the cytoplasm (PubMed:12077416). Required to generate lymphocyte cell surface (HLA-E) epitopes derived from MHC class I signal peptides (PubMed:11714810). May be necessary for the removal of the signal peptide that remains attached to the hepatitis C virus core protein after the initial proteolytic processing of the polyprotein (PubMed:12145199). Involved in the intramembrane cleavage of the integral membrane protein PSEN1 (PubMed:11714810, PubMed:12077416, PubMed:14741365). Cleaves the integral membrane protein XBP1 isoform 1 in a DERL1/RNF139-dependent manner (PubMed:25239945). May play a role in graft rejection (By similarity)	Endoplasmic reticulum membrane
325	O14735	Catalyzes the biosynthesis of phosphatidylinositol (PtdIns) as well as PtdIns:inositol exchange reaction. May thus act to reduce an excessive cellular PtdIns content. The exchange activity is due to the reverse reaction of PtdIns synthase and is dependent on CMP, which is tightly bound to the enzyme	Endoplasmic reticulum membrane
326	O95674	Catalyzes the conversion of phosphatidic acid (PA) to CDP-diacylglycerol (CDP-DAG), an essential intermediate in the synthesis of phosphatidylglycerol, cardiolipin and phosphatidylinositol (PubMed:25375833). Exhibits specificity for the nature of the acyl chains at the sn-1 and sn-2 positions in the substrate, PA and the preferred acyl chain composition is 1-stearoyl-2-arachidonoyl-sn-phosphatidic acid (PubMed:25375833). Plays an important role in regulating the growth and maturation of lipid droplets which are storage organelles at the center of lipid and energy homeostasis (PubMed:26946540, PubMed:31548309)	Endoplasmic reticulum membrane
327	Q5VV42	Catalyzes the methylthiolation of N6-threonylcarbamoyladenosine (t(6)A), leading to the formation of 2-methylthio-N6-threonylcarbamoyladenosine (ms(2)t(6)A) at position 37 in tRNAs that read codons beginning with adenine	Endoplasmic reticulum membrane
328	P37059	Catalyzes the NAD-dependent oxidation of the highly active 17beta-hydroxysteroids, such as estradiol (E2), testosterone (T), and dihydrotestosterone (DHT), to their less active forms and thus regulates the biological potency of these steroids. Oxidizes estradiol to estrone, testosterone to androstenedione, and dihydrotestosterone to 5alpha-androstan-3,17-dione. Also has 20-alpha-HSD activity	Endoplasmic reticulum membrane
329	O60725	Catalyzes the post-translational methylation of isoprenylated C-terminal cysteine residues	Endoplasmic reticulum membrane
330	Q06136	Catalyzes the reduction of 3'-oxosphinganine (3-ketodihydrosphingosine/KDS) to sphinganine (dihydrosphingosine/DHS), the second step of de novo sphingolipid biosynthesis	Endoplasmic reticulum membrane
331	Q15392	Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis (PubMed:11519011, PubMed:21671375, PubMed:22178193, PubMed:25637936). In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress (PubMed:11007892, PubMed:22010141). Also protects against amyloid-beta peptide-induced apoptosis (PubMed:11007892)	Endoplasmic reticulum membrane
332	Q53GQ0	Catalyzes the second of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme has a 3-ketoacyl-CoA reductase activity, reducing 3-ketoacyl-CoA to 3-hydroxyacyl-CoA, within each cycle of fatty acid elongation. Thereby, it may participate in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. May also catalyze the transformation of estrone (E1) into estradiol (E2) and play a role in estrogen formation	Endoplasmic reticulum membrane
333	Q9P035	Catalyzes the third of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. May be involved in Rac1-signaling pathways leading to the modulation of gene expression. Promotes insulin receptor/INSR autophosphorylation and is involved in INSR internalization (PubMed:25687571)	Endoplasmic reticulum membrane
334	Q96G23	Ceramide synthase that catalyzes the transfer of the acyl chain from acyl-CoA to a sphingoid base, with high selectivity toward very-long-chain fatty acyl-CoA (chain length C22-C27) (PubMed:17977534, PubMed:18165233, PubMed:18541923, PubMed:19728861, PubMed:20937905, PubMed:22144673, PubMed:22661289, PubMed:26887952, PubMed:29632068). N-acylates sphinganine and sphingosine bases to form dihydroceramides and ceramides in de novo synthesis and salvage pathways, respectively (By similarity) (PubMed:17977534, PubMed:18165233, PubMed:18541923, PubMed:19728861, PubMed:20937905, PubMed:22144673, PubMed:22661289, PubMed:26887952, PubMed:29632068). Plays a non-redundant role in the synthesis of ceramides with very-long-chain fatty acids in kidney, liver and brain. Regulates the abundance of myelin-specific sphingolipids galactosylceramide and sulfatide that affects myelin sheath architecture and motor neuron functions (By similarity)	Endoplasmic reticulum membrane
335	O95470	Cleaves phosphorylated sphingoid bases (PSBs), such as sphingosine-1-phosphate, into fatty aldehydes and phosphoethanolamine. Elevates stress-induced ceramide production and apoptosis (PubMed:11018465, PubMed:14570870, PubMed:24809814, PubMed:28165339). Required for global lipid homeostasis in liver and cholesterol homeostasis in fibroblasts. Involved in the regulation of pro-inflammatory response and neutrophil trafficking. Modulates neuronal autophagy via phosphoethanolamine production which regulates accumulation of aggregate-prone proteins such as APP (By similarity). Seems to play a role in establishing neuronal contact sites and axonal maintenance (By similarity)	Endoplasmic reticulum membrane
336	P61619	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939, PubMed:22375059, PubMed:28782633, PubMed:29719251, PubMed:32814900). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:22375059, PubMed:28782633, PubMed:29719251). May cooperate with auxiliary protein SEC62, SEC63 and HSPA5/BiP to enable post-translational transport of small presecretory proteins (PubMed:22375059, PubMed:29719251). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while insertion of subsequent transmembrane regions of multi-pass membrane proteins is mediated by the multi-pass translocon (MPT) complex (PubMed:32820719, PubMed:36261522). The SEC61 channel cooperates with the translocating protein TRAM1 to import nascent proteins into the ER (PubMed:8616892). Controls the passive efflux of calcium ions from the ER lumen to the cytosol through SEC61 channel, contributing to the maintenance of cellular calcium homeostasis (PubMed:28782633). Plays a critical role in nephrogenesis, specifically at pronephros stage (By similarity)	Endoplasmic reticulum membrane
337	P60468	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:12475939). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while insertion of subsequent transmembrane regions of multi-pass membrane proteins is mediated by the multi-pass translocon (MPT) complex (PubMed:32820719, PubMed:36261522). The SEC61 channel cooperates with the translocating protein TRAM1 to import nascent proteins into the ER (PubMed:19121997)	Endoplasmic reticulum membrane
338	O94905	Component of the ERLIN1/ERLIN2 complex which mediates the endoplasmic reticulum-associated degradation (ERAD) of inositol 1,4,5-trisphosphate receptors (IP3Rs) such as ITPR1 (PubMed:17502376, PubMed:19240031). Promotes sterol-accelerated ERAD of HMGCR probably implicating an AMFR/gp78-containing ubiquitin ligase complex (PubMed:21343306). Involved in regulation of cellular cholesterol homeostasis by regulation the SREBP signaling pathway. May promote ER retention of the SCAP-SREBF complex (PubMed:24217618)	Endoplasmic reticulum membrane
339	O75477	Component of the ERLIN1/ERLIN2 complex which mediates the endoplasmic reticulum-associated degradation (ERAD) of inositol 1,4,5-trisphosphate receptors (IP3Rs). Involved in regulation of cellular cholesterol homeostasis by regulation the SREBP signaling pathway (PubMed:37683630). Binds cholesterol and may promote ER retention of the SCAP-SREBF complex (PubMed:24217618)	Endoplasmic reticulum membrane
340	Q96S52	Component of the glycosylphosphatidylinositol-anchor (GPI-anchor) transamidase (GPI-T) complex that catalyzes the formation of the linkage between a proprotein and a GPI-anchor and participates in GPI anchored protein biosynthesis	Endoplasmic reticulum membrane
341	Q969N2	Component of the glycosylphosphatidylinositol-anchor (GPI-anchor) transamidase (GPI-T) complex that catalyzes the formation of the linkage between a proprotein and a GPI-anchor and participates in GPI anchored protein biosynthesis (PubMed:11483512, PubMed:12582175, PubMed:28327575, PubMed:34576938, PubMed:35165458, PubMed:35551457, PubMed:36970549, PubMed:37684232). May play a crucial role in GPI-T complex assembly in the luminal layer (PubMed:35165458, PubMed:35551457). Binds GPI-anchor (PubMed:37684232)	Endoplasmic reticulum membrane
342	O43292	Component of the glycosylphosphatidylinositol-anchor (GPI-anchor) transamidase (GPI-T) complex that catalyzes the formation of the linkage between a proprotein and a GPI-anchor and participates in GPI anchored protein biosynthesis (PubMed:11483512, PubMed:29100095, PubMed:34576938, PubMed:35165458, PubMed:35551457, PubMed:37684232, PubMed:9468317). Binds GPI-anchor (PubMed:37684232)	Endoplasmic reticulum membrane
343	Q9H490	Component of the glycosylphosphatidylinositol-anchor (GPI-anchor) transamidase (GPI-T) complex that catalyzes the formation of the linkage between a proprotein and a GPI-anchor and participates in GPI anchored protein biosynthesis (PubMed:12802054, PubMed:31353022, PubMed:34576938, PubMed:35165458, PubMed:35551457, PubMed:37684232). Binds the lipid portion of GPI-anchor (PubMed:37684232). May act as an organizer in the transmembrane layer to recruit other subunits, and thus is essential for assembly of the complex (PubMed:35165458, PubMed:35551457)	Endoplasmic reticulum membrane
344	O15269	Component of the serine palmitoyltransferase multisubunit enzyme (SPT) that catalyzes the initial and rate-limiting step in sphingolipid biosynthesis by condensing L-serine and activated acyl-CoA (most commonly palmitoyl-CoA) to form long-chain bases. The SPT complex is also composed of SPTLC2 or SPTLC3 and SPTSSA or SPTSSB. Within this complex, the heterodimer with SPTLC2 or SPTLC3 forms the catalytic core (PubMed:19416851, PubMed:33558762, PubMed:36170811). The composition of the serine palmitoyltransferase (SPT) complex determines the substrate preference (PubMed:19416851, PubMed:33558762). The SPTLC1-SPTLC2-SPTSSA complex shows a strong preference for C16-CoA substrate, while the SPTLC1-SPTLC3-SPTSSA isozyme uses both C14-CoA and C16-CoA as substrates, with a slight preference for C14-CoA (PubMed:19416851, PubMed:19648650). The SPTLC1-SPTLC2-SPTSSB complex shows a strong preference for C18-CoA substrate, while the SPTLC1-SPTLC3-SPTSSB isozyme displays an ability to use a broader range of acyl-CoAs, without apparent preference (PubMed:19416851, PubMed:19648650, PubMed:33558761, PubMed:33558762). Required for adipocyte cell viability and metabolic homeostasis (By similarity)	Endoplasmic reticulum membrane
345	Q15005	Component of the signal peptidase complex (SPC) which catalyzes the cleavage of N-terminal signal sequences from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum (PubMed:34388369). Enhances the enzymatic activity of SPC and facilitates the interactions between different components of the translocation site (By similarity)	Endoplasmic reticulum membrane
346	Q9Y5M8	Component of the signal recognition particle (SRP) complex receptor (SR) (By similarity). Ensures, in conjunction with the SRP complex, the correct targeting of the nascent secretory proteins to the endoplasmic reticulum membrane system (By similarity). May mediate the membrane association of SR (By similarity)	Endoplasmic reticulum membrane
347	P08240	Component of the signal recognition particle (SRP) complex receptor (SR) (PubMed:16439358). Ensures, in conjunction with the SRP complex, the correct targeting of the nascent secretory proteins to the endoplasmic reticulum membrane system (PubMed:16675701, PubMed:34020957). Forms a guanosine 5'-triphosphate (GTP)-dependent complex with the SRP subunit SRP54 (PubMed:34020957). SRP receptor compaction and GTPase rearrangement drive SRP-mediated cotranslational protein translocation into the ER (PubMed:34020957)	Endoplasmic reticulum membrane
348	P10620	Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles	Endoplasmic reticulum membrane
349	Q6NUQ4	Critical mediator, in cooperation with CASP4, of endoplasmic reticulum-stress induced apoptosis. Required or the activation of CASP4 following endoplasmic reticulum stress	Endoplasmic reticulum membrane
350	Q9UKV5	E3 ubiquitin-protein ligase that mediates the polyubiquitination of lysine and cysteine residues on target proteins, such as CD3D, CYP3A4, CFTR, INSIG1, SOAT2/ACAT2 and APOB for proteasomal degradation (PubMed:10456327, PubMed:11724934, PubMed:12670940, PubMed:19103148, PubMed:24424410, PubMed:28604676). Component of a VCP/p97-AMFR/gp78 complex that participates in the final step of endoplasmic reticulum-associated degradation (ERAD) (PubMed:10456327, PubMed:11724934, PubMed:19103148, PubMed:24424410). The VCP/p97-AMFR/gp78 complex is involved in the sterol-accelerated ERAD degradation of HMGCR through binding to the HMGCR-INSIG1 complex at the ER membrane (PubMed:16168377, PubMed:22143767). In addition, interaction of AMFR with AUP1 facilitates interaction of AMFR with ubiquitin-conjugating enzyme UBE2G2 and ubiquitin ligase RNF139, leading to sterol-induced HMGCR ubiquitination (PubMed:23223569). The ubiquitinated HMGCR is then released from the ER into the cytosol for subsequent destruction (PubMed:16168377, PubMed:22143767, PubMed:23223569). In addition to ubiquitination on lysine residues, catalyzes ubiquitination on cysteine residues: together with INSIG1, mediates polyubiquitination of SOAT2/ACAT2 at 'Cys-277', leading to its degradation when the lipid levels are low (PubMed:28604676). Catalyzes ubiquitination and subsequent degradation of INSIG1 when cells are depleted of sterols (PubMed:17043353). Mediates polyubiquitination of INSIG2 at 'Cys-215' in some tissues, leading to its degradation (PubMed:31953408). Also regulates ERAD through the ubiquitination of UBL4A a component of the BAG6/BAT3 complex (PubMed:21636303). Also acts as a scaffold protein to assemble a complex that couples ubiquitination, retranslocation and deglycosylation (PubMed:21636303). Mediates tumor invasion and metastasis as a receptor for the GPI/autocrine motility factor (PubMed:10456327). In association with LMBR1L and UBAC2, negatively regulates the canonical Wnt signaling pathway in the lymphocytes by promoting the ubiquitin-mediated degradation of CTNNB1 and Wnt receptors FZD6 and LRP6 (PubMed:31073040). Regulates NF-kappa-B and MAPK signaling pathways by mediating 'Lys-27'-linked polyubiquitination of TAB3 and promoting subsequent TAK1/MAP3K7 activation (PubMed:36593296). Required for proper lipid homeostasis (PubMed:37119330)	Endoplasmic reticulum membrane
351	Q96K19	E3 ubiquitin-protein ligase that plays an essential role in stimulus-induced inositol 1,4,5-trisphosphate receptor type 1 (ITPR1) ubiquitination and degradation via the endoplasmic reticulum-associated degradation (ERAD) pathway. Also involved in ITPR1 turnover in resting cells. Selectively inhibits the TLR3-triggered innate immune response by promoting the 'Lys-48'-linked polyubiquitination and degradation of TLR3 (PubMed:31076723)	Endoplasmic reticulum membrane
352	Q9UM00	Endoplasmic reticulum (ER) calcium-selective channel preventing intracellular Ca2(+) stores from overfilling and maintaining calcium homeostasis in the ER (PubMed:27212239). In response to endoplasmic reticulum (ER) Ca2(+) overloading, assembles into a homotetramer, forming a functional calcium-selective channel facilitating Ca2(+) release (PubMed:27212239). Mediates ER Ca2(+) homeostasis in osteoblasts and plays a key role in bone formation, via the CaMKII-HDAC4-RUNX2 signaling axis (By similarity). Component of the multi-pass translocon (MPT) complex that mediates insertion of multi-pass membrane proteins into the lipid bilayer of membranes (PubMed:32820719, PubMed:36261522). The MPT complex takes over after the SEC61 complex: following membrane insertion of the first few transmembrane segments of proteins by the SEC61 complex, the MPT complex occludes the lateral gate of the SEC61 complex to promote insertion of subsequent transmembrane regions (PubMed:36261522). Within the MPT complex, the GEL subcomplex may mediate insertion of transmembrane regions into the membrane (PubMed:36261522)	Endoplasmic reticulum membrane
353	Q9P0L0	Endoplasmic reticulum (ER)-anchored protein that mediates the formation of contact sites between the ER and endosomes via interaction with FFAT motif-containing proteins such as STARD3 or WDR44 (PubMed:32344433, PubMed:33124732). STARD3-VAPA interaction enables cholesterol transfer from the ER to endosomes (PubMed:33124732). Via interaction with WDR44 participates in neosynthesized protein export (PubMed:32344433). In addition, recruited to the plasma membrane through OSBPL3 binding (PubMed:25447204). The OSBPL3-VAPA complex stimulates RRAS signaling which in turn attenuates integrin beta-1 (ITGB1) activation at the cell surface (PubMed:25447204). With OSBPL3, may regulate ER morphology (PubMed:16143324). May play a role in vesicle trafficking (PubMed:11511104, PubMed:19289470)	Endoplasmic reticulum membrane
354	Q9C0E8	Endoplasmic reticulum (ER)-shaping membrane protein that plays a role in determining ER morphology (PubMed:30032983). Involved in the stabilization of nascent three-way ER tubular junctions within the ER network (PubMed:24223779, PubMed:25404289, PubMed:25548161, PubMed:27619977). May also play a role as a curvature-stabilizing protein within the three-way ER tubular junction network (PubMed:25404289). May be involved in limb development (By similarity). Is involved in central nervous system development (PubMed:30032983)	Endoplasmic reticulum membrane
355	Q9Y320	Endoplasmic reticulum and mitochondria-associated protein that probably functions as a regulator of cellular redox state and thereby regulates protein post-translational modification, protein folding and mitochondrial activity. Indirectly regulates neuronal proliferation, migration, and organization in the developing brain	Endoplasmic reticulum membrane
356	O15260	Endoplasmic reticulum cargo receptor that mediates the export of lipoproteins by recruiting cargos into COPII vesicles to facilitate their secretion (PubMed:29643117, PubMed:30251625, PubMed:33186557). Acts as a cargo receptor for lipoproteins bearing both APOB and APOA1, thereby regulating lipoprotein delivery and the maintenance of lipid homeostasis (PubMed:29643117, PubMed:33186557). Synergizes with the GTPase SAR1B to mediate transport of circulating lipoproteins (PubMed:33186557). Promotes the secretion of PCSK9 (PubMed:30251625). Also mediates the efficient secretion of erythropoietin (EPO) (PubMed:32989016). May also play a role in the maintenance of the architecture of the endoplasmic reticulum-Golgi intermediate compartment and of the Golgi (PubMed:18287528)	Endoplasmic reticulum membrane
357	Q9HD20	Endoplasmic reticulum translocase required to remove mitochondrial transmembrane proteins mistargeted to the endoplasmic reticulum (PubMed:32973005, PubMed:36264797). Acts as a dislocase that mediates the ATP-dependent extraction of mislocalized mitochondrial transmembrane proteins from the endoplasmic reticulum membrane (PubMed:32973005). Specifically binds mitochondrial tail-anchored transmembrane proteins: has an atypically large substrate-binding pocket that recognizes and binds moderately hydrophobic transmembranes with short hydrophilic lumenal domains (PubMed:32973005)	Endoplasmic reticulum membrane
358	Q9NRX5	Enhances the incorporation of serine into phosphatidylserine and sphingolipids	Endoplasmic reticulum membrane
359	Q86WV6	Facilitator of innate immune signaling that acts as a sensor of cytosolic DNA from bacteria and viruses and promotes the production of type I interferon (IFN-alpha and IFN-beta) (PubMed:18724357, PubMed:18818105, PubMed:19433799, PubMed:19776740, PubMed:23027953, PubMed:23747010, PubMed:23910378, PubMed:27801882, PubMed:29973723, PubMed:30842659, PubMed:35045565, PubMed:35388221, PubMed:36808561, PubMed:37832545, PubMed:25704810, PubMed:39255680). Innate immune response is triggered in response to non-CpG double-stranded DNA from viruses and bacteria delivered to the cytoplasm (PubMed:26300263). Acts by binding cyclic dinucleotides: recognizes and binds cyclic di-GMP (c-di-GMP), a second messenger produced by bacteria, cyclic UMP-AMP (2',3'-cUAMP), and cyclic GMP-AMP (cGAMP), a messenger produced by CGAS in response to DNA virus in the cytosol (PubMed:21947006, PubMed:23258412, PubMed:23707065, PubMed:23722158, PubMed:23747010, PubMed:23910378, PubMed:26229117, PubMed:30842659, PubMed:35388221, PubMed:37379839). Upon binding to c-di-GMP, cUAMP or cGAMP, STING1 oligomerizes, translocates from the endoplasmic reticulum and is phosphorylated by TBK1 on the pLxIS motif, leading to recruitment and subsequent activation of the transcription factor IRF3 to induce expression of type I interferon and exert a potent anti-viral state (PubMed:22394562, PubMed:25636800, PubMed:29973723, PubMed:30842653, PubMed:35045565, PubMed:35388221). Exhibits 2',3' phosphodiester linkage-specific ligand recognition: can bind both 2'-3' linked cGAMP (2'-3'-cGAMP) and 3'-3' linked cGAMP but is preferentially activated by 2'-3' linked cGAMP (PubMed:23747010, PubMed:23910378, PubMed:26300263). The preference for 2'-3'-cGAMP, compared to other linkage isomers is probably due to the ligand itself, whichs adopts an organized free-ligand conformation that resembles the STING1-bound conformation and pays low energy costs in changing into the active conformation (PubMed:26150511). In addition to promote the production of type I interferons, plays a direct role in autophagy (PubMed:30568238, PubMed:30842662). Following cGAMP-binding, STING1 buds from the endoplasmic reticulum into COPII vesicles, which then form the endoplasmic reticulum-Golgi intermediate compartment (ERGIC) (PubMed:30842662). The ERGIC serves as the membrane source for WIPI2 recruitment and LC3 lipidation, leading to formation of autophagosomes that target cytosolic DNA or DNA viruses for degradation by the lysosome (PubMed:30842662). Promotes autophagy by acting as a proton channel that directs proton efflux from the Golgi to facilitate MAP1LC3B/LC3B lipidation (PubMed:37535724). The autophagy- and interferon-inducing activities can be uncoupled and autophagy induction is independent of TBK1 phosphorylation (PubMed:30568238, PubMed:30842662). Autophagy is also triggered upon infection by bacteria: following c-di-GMP-binding, which is produced by live Gram-positive bacteria, promotes reticulophagy (By similarity). May be involved in translocon function, the translocon possibly being able to influence the induction of type I interferons (PubMed:18724357). May be involved in transduction of apoptotic signals via its association with the major histocompatibility complex class II (MHC-II) (By similarity)	Endoplasmic reticulum membrane
360	Q8N6M3	Fatty acyl-coenzyme A (CoA) diphosphatase that hydrolyzes fatty acyl-CoA to yield acyl-4'-phosphopantetheine and adenosine 3',5'-bisphosphate (By similarity) (PubMed:32915949). Preferentially hydrolyzes unsaturated long-chain acyl-CoA substrates such as oleoyl-CoA/(9Z)-octadecenoyl-CoA and arachidonoyl-CoA/(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA in the endoplasmic reticulum (ER) lumen (By similarity) (PubMed:32915949). This catalytic activity is required for maintaining ER structure and for lipid droplets (LDs) biogenesis, which are lipid storage organelles involved in maintaining lipid and energy homeostasis (By similarity) (PubMed:18160536, PubMed:32915949). Directly binds to diacylglycerol (DAGs) and triacylglycerol, which is also important for LD biogenesis (By similarity). May support directional budding of nacent LDs from the ER into the cytosol by reducing DAG levels at sites of LD formation (By similarity). Plays a role in the regulation of cell morphology and cytoskeletal organization (By similarity) (PubMed:21834987)	Endoplasmic reticulum membrane
361	Q9GZP9	Functional component of endoplasmic reticulum-associated degradation (ERAD) for misfolded lumenal glycoproteins, but not that of misfolded nonglycoproteins. May act by forming a channel that allows the retrotranslocation of misfolded glycoproteins into the cytosol where they are ubiquitinated and degraded by the proteasome. May mediate the interaction between VCP and misfolded glycoproteins (PubMed:16186509, PubMed:16449189). May also be involved in endoplasmic reticulum stress-induced pre-emptive quality control, a mechanism that selectively attenuates the translocation of newly synthesized proteins into the endoplasmic reticulum and reroutes them to the cytosol for proteasomal degradation (PubMed:26565908)	Endoplasmic reticulum membrane
362	Q5BJH7	Functions in endoplasmic reticulum to Golgi vesicle-mediated transport and regulates the proper organization of the endoplasmic reticulum and the Golgi (By similarity). Plays a key role in targeting to neuronal dendrites receptors such as HTR1A (By similarity). Plays also a role in primary cilium and sperm flagellum assembly probably through protein transport to these compartments (PubMed:33103737)	Endoplasmic reticulum membrane
363	Q9HCU5	Guanine nucleotide exchange factor (GEF) that regulates the assembly of the coat protein complex II/COPII in endoplasmic reticulum (ER) to Golgi vesicle-mediated transport. Selectively activates SAR1A and SAR1B by promoting the exchange of guanosine diphosphate (GDP) for guanosine triphosphate (GTP) in these small GTPases (PubMed:32358066). In their activated GTP-bound state, SAR1A and SAR1B insert into the membrane of the endoplasmic reticulum where they recruit the remainder of the coat protein complex II/COPII which is responsible for both the sorting of proteins and the deformation and budding of membranes into vesicles destined to the Golgi (PubMed:32358066)	Endoplasmic reticulum membrane
364	Q13724	In the context of N-glycan degradation, cleaves the distal alpha 1,2-linked glucose residue from the Glc(3)Man(9)GlcNAc(2) oligosaccharide precursor in a highly specific manner	Endoplasmic reticulum membrane
365	Q9NVV0	Intracellular monovalent cation channel required for maintenance of rapid intracellular calcium release. Acts as a potassium counter-ion channel that functions in synchronization with calcium release from intracellular stores (By similarity). Activated by increased cytosolic Ca(2+) levels (By similarity)	Endoplasmic reticulum membrane
366	Q96AA3	Intramembrane glycolipid transporter that operates in the biosynthetic pathway of dolichol-linked oligosaccharides, the glycan precursors employed in protein asparagine (N)-glycosylation. The sequential addition of sugars to dolichol pyrophosphate produces dolichol-linked oligosaccharides containing fourteen sugars, including two GlcNAcs, nine mannoses and three glucoses. Once assembled, the oligosaccharide is transferred from the lipid to nascent proteins by oligosaccharyltransferases. The assembly of dolichol-linked oligosaccharides begins on the cytosolic side of the endoplasmic reticulum membrane and finishes in its lumen. RFT1 could mediate the translocation of the cytosolically oriented intermediate DolPP-GlcNAc2Man5, produced by ALG11, into the ER lumen where dolichol-linked oligosaccharides assembly continues (PubMed:18313027, PubMed:19701946). However, the intramembrane lipid transporter activity could not be confirmed in vitro (By similarity)	Endoplasmic reticulum membrane
367	Q9NZ01	Involved in both the production of very long-chain fatty acids for sphingolipid synthesis and the degradation of the sphingosine moiety in sphingolipids through the sphingosine 1-phosphate metabolic pathway (PubMed:25049234). Catalyzes the last of the four reactions of the long-chain fatty acids elongation cycle (PubMed:12482854). This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle (PubMed:12482854). This enzyme reduces the trans-2,3-enoyl-CoA fatty acid intermediate to an acyl-CoA that can be further elongated by entering a new cycle of elongation (PubMed:12482854). Thereby, it participates in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators (PubMed:12482854). Catalyzes the saturation step of the sphingosine 1-phosphate metabolic pathway, the conversion of trans-2-hexadecenoyl-CoA to palmitoyl-CoA (PubMed:25049234)	Endoplasmic reticulum membrane
368	O15533	Involved in the association of MHC class I with transporter associated with antigen processing (TAP) and in the assembly of MHC class I with peptide (peptide loading)	Endoplasmic reticulum membrane
369	O95864	Involved in the biosynthesis of highly unsaturated fatty acids (HUFA) from the essential polyunsaturated fatty acids (PUFA) linoleic acid (LA) (18:2n-6) and alpha-linolenic acid (ALA) (18:3n-3) precursors, acting as a fatty acyl-coenzyme A (CoA) desaturase that introduces a cis double bond at carbon 6 of the fatty acyl chain. Catalyzes the first and rate limiting step in this pathway which is the desaturation of LA (18:2n-6) and ALA (18:3n-3) into gamma-linoleate (GLA) (18:3n-6) and stearidonate (18:4n-3), respectively (PubMed:12713571). Subsequently, in the biosynthetic pathway of HUFA n-3 series, it desaturates tetracosapentaenoate (24:5n-3) to tetracosahexaenoate (24:6n-3), which is then converted to docosahexaenoate (DHA)(22:6n-3), an important lipid for nervous system function (By similarity). Desaturates hexadecanate (palmitate) to produce 6Z-hexadecenoate (sapienate), a fatty acid unique to humans and major component of human sebum, that has been implicated in the development of acne and may have potent antibacterial activity (PubMed:12713571). It can also desaturate (11E)-octadecenoate (trans-vaccenoate, the predominant trans fatty acid in human milk) at carbon 6 generating (6Z,11E)-octadecadienoate (By similarity). In addition to Delta-6 activity, this enzyme exhibits Delta-8 activity with slight biases toward n-3 fatty acyl-CoA substrates (By similarity)	Endoplasmic reticulum membrane
370	Q15629	Involved in the translocation of nascent protein chains into or through the endoplasmic reticulum (ER) membrane by facilitating the proper chain positioning at the SEC61 channel (PubMed:12475939, PubMed:1315422, PubMed:32013668, PubMed:8616892, PubMed:9506517). Regulates the exposure of nascent secretory protein chain to the cytosol during translocation into the ER (PubMed:9506517). May affect the phospholipid bilayer in the vicinity of the lateral gate of the SEC61 channel, thereby facilitating ER protein transport (PubMed:32013668). Intimately associates with transmembrane (TM) domain of nascent membrane proteins during the entire integration process into the ER membrane (PubMed:8616892). Associates with the second TM domain of G-protein-coupled receptor opsin/OPSD nascent chain in the ER membrane, which may facilitate its integration into the membrane (PubMed:12475939). Under conditions of ER stress, participates in the disposal of misfolded ER membrane proteins during the unfolded protein response (UPR), an integrated stress response (ISR) pathway, by selectively retrotranslocating misfolded ER-membrane proteins from the ER into the cytosol where they are ubiquitinated and degraded by the proteasome (PubMed:20430023)	Endoplasmic reticulum membrane
