# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P29846	uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pan RY. et al.(2010)	intact:EBI-7640932|mint:d-09-01943|doi:10.1016/j.febslet.2009.11.090|mint:MINT-7306462|mint:MINT-7306460|pubmed:19958771|imex:IM-15565	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7640950|mint:MINT-7306465|imex:IM-15565-1	intact-miscore:0.4
uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:Q9P035	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	intact:EBI-1049123|uniprotkb:A0PJA1|uniprotkb:Q280Z3|uniprotkb:Q6PD63|uniprotkb:Q8IUI5|uniprotkb:Q8NC86|uniprotkb:Q8NCB1|uniprotkb:Q96T12|uniprotkb:Q9NQA7|uniprotkb:B4DRF4|intact:EBI-28973764|ensembl:ENSP00000261875.5|intact:EBI-359013|uniprotkb:Q9P035	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:hacd3_human(display_short)|psi-mi:"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"(display_long)|uniprotkb:HACD3(gene name)|uniprotkb:BIND1(gene name synonym)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:PTPLAD1(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513187|imex:IM-26663-41	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:Q99733	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:B2R6J4|uniprotkb:F5HFY4|ensembl:ENSP00000369915.4|ensembl:ENSP00000483728.1|intact:EBI-2255116|uniprotkb:Q99733	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:np1l4_human(display_short)|psi-mi:Nucleosome assembly protein 1-like 4(display_long)|uniprotkb:NAP1L4(gene name)|uniprotkb:Nucleosome assembly protein 2(gene name synonym)|uniprotkb:NAP2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513187|imex:IM-26663-41	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:P08574	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:Q5U062|uniprotkb:Q6FHS7|ensembl:ENSP00000317159.4|intact:EBI-1224514|uniprotkb:P08574	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:cy1_human(display_short)|psi-mi:Cytochrome c1, heme protein, mitochondrial(display_long)|uniprotkb:CYC1(gene name)|uniprotkb:Complex III subunit IV(gene name synonym)|uniprotkb:Complex III subunit 4(gene name synonym)|uniprotkb:Cytochrome b-c1 complex subunit 4(gene name synonym)|uniprotkb:Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513187|imex:IM-26663-41	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:Q16880	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:O00196|uniprotkb:B3KXU7|ensembl:ENSP00000311648.6|ensembl:ENSP00000378019.3|ensembl:ENSP00000421446.2|intact:EBI-11337945|uniprotkb:Q16880	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:cgt_human(display_short)|psi-mi:2-hydroxyacylsphingosine 1-beta-galactosyltransferase(display_long)|uniprotkb:UGT8(gene name)|uniprotkb:UGT4(gene name synonym)|uniprotkb:UDP-galactose-ceramide galactosyltransferase(gene name synonym)|uniprotkb:Cerebroside synthase(gene name synonym)|uniprotkb:Ceramide UDP-galactosyltransferase(gene name synonym)|uniprotkb:CGT(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513187|imex:IM-26663-41	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q7L9L4	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:B2R8U6|uniprotkb:Q8IY23|uniprotkb:B4DRY3|ensembl:ENSP00000310189.3|intact:EBI-2558745|uniprotkb:Q7L9L4	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:mob1b_human(display_short)|psi-mi:MOB kinase activator 1B(display_long)|uniprotkb:MOB1B(gene name)|uniprotkb:Mps one binder kinase activator-like 1A(gene name synonym)|uniprotkb:Mob1B(gene name synonym)|uniprotkb:Mob1 homolog 1A(gene name synonym)|uniprotkb:MOBKL1A(gene name synonym)|uniprotkb:MOB4A(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513460|imex:IM-26663-3	intact-miscore:0.35
uniprotkb:Q53GQ0	uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:A8K9B0|uniprotkb:Q9Y6G8|uniprotkb:Q96JU2|uniprotkb:D3DR23|uniprotkb:Q96EA9|ensembl:ENSP00000278353.4|intact:EBI-2963255|uniprotkb:Q53GQ0	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	psi-mi:dhb12_human(display_short)|psi-mi:Very-long-chain 3-oxoacyl-CoA reductase(display_long)|uniprotkb:HSD17B12(gene name)|uniprotkb:Estradiol 17-beta-dehydrogenase 12(gene name synonym)|uniprotkb:Short chain dehydrogenase/reductase family 12C member 1(gene name synonym)|uniprotkb:SDR12C1(gene name synonym)|uniprotkb:3-ketoacyl-CoA reductase(gene name synonym)|uniprotkb:17-beta-hydroxysteroid dehydrogenase 12(gene name synonym)	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11515671|imex:IM-26663-49	intact-miscore:0.5
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q12805	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q541U7|uniprotkb:A8K3I4|uniprotkb:D6W5D2|uniprotkb:B4DW75|ensembl:ENSP00000347596.3|ensembl:ENSP00000378058.2|intact:EBI-536772|uniprotkb:Q12805	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:fbln3_human(display_short)|psi-mi:EGF-containing fibulin-like extracellular matrix protein 1(display_long)|uniprotkb:EFEMP1(gene name)|uniprotkb:FBNL(gene name synonym)|uniprotkb:FBLN3(gene name synonym)|uniprotkb:Extracellular protein S1-5(gene name synonym)|uniprotkb:Fibrillin-like protein(gene name synonym)|uniprotkb:Fibulin-3(gene name synonym)	psi-mi:"MI:0096"(pull down)	de Chassey B. et al.(2008)	intact:EBI-8874074|pubmed:18985028|imex:IM-25957	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9051161|imex:IM-25957-45	intact-miscore:0.51
uniprotkb:Q13227	uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q6FHM8|ensembl:ENSP00000370104.2|ensembl:ENSP00000379841.4|ensembl:ENSP00000500255.1|ensembl:ENSP00000500677.1|uniprotkb:B4DXA1|intact:EBI-713355|uniprotkb:Q13227	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	psi-mi:gps2_human(display_short)|psi-mi:G protein pathway suppressor 2(display_long)|uniprotkb:GPS2(gene name)	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:"MI:0096"(pull down)	de Chassey B. et al.(2008)	intact:EBI-8874074|pubmed:18985028|imex:IM-25957	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9051177|imex:IM-25957-583	intact-miscore:0.51
uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95292	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8840818|imex:IM-25835-15	intact-miscore:0.54
uniprotkb:O95292	uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8840830|imex:IM-25835-27	intact-miscore:0.54
uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95292	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8840842|imex:IM-25835-29	intact-miscore:0.54
uniprotkb:O95292	uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8803448|imex:IM-25835-5	intact-miscore:0.54
uniprotkb:O95292	uniprotkb:Q03463-PRO_0000278741	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	uniprotkb:Q03463-PRO_0000278741|intact:EBI-8803474	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:q03463-pro_0000278741(display_short)|psi-mi:RNA-directed RNA polymerase(display_long)|HPIDb:NS5B(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8803464|imex:IM-25835-9	intact-miscore:0.4
uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95292	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	uniprotkb:O95293|uniprotkb:Q9P0H0|uniprotkb:A2A2F2|ensembl:ENSP00000417175.1|intact:EBI-1188298|uniprotkb:O95292	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)|HPIDb:NS5a(author assigned name)	psi-mi:vapb_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein B/C(display_long)|uniprotkb:VAPB(gene name)|uniprotkb:UNQ484/PRO983(orf name)|HPIDb:VAPB(author assigned name)	psi-mi:"MI:0663"(confocal microscopy)	Hamamoto I. et al.(2005)	intact:EBI-8803403|pubmed:16227268|imex:IM-25835	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-8803506|imex:IM-25835-23	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P035	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	intact:EBI-1049123|uniprotkb:A0PJA1|uniprotkb:Q280Z3|uniprotkb:Q6PD63|uniprotkb:Q8IUI5|uniprotkb:Q8NC86|uniprotkb:Q8NCB1|uniprotkb:Q96T12|uniprotkb:Q9NQA7|uniprotkb:B4DRF4|intact:EBI-28973764|ensembl:ENSP00000261875.5|intact:EBI-359013|uniprotkb:Q9P035	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:hacd3_human(display_short)|psi-mi:"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"(display_long)|uniprotkb:HACD3(gene name)|uniprotkb:BIND1(gene name synonym)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:PTPLAD1(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Taguwa S. et al.(2008)	intact:EBI-9083149|pubmed:18160438|imex:IM-25834	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9083182|imex:IM-25834-3	intact-miscore:0.51
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P035	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	intact:EBI-1049123|uniprotkb:A0PJA1|uniprotkb:Q280Z3|uniprotkb:Q6PD63|uniprotkb:Q8IUI5|uniprotkb:Q8NC86|uniprotkb:Q8NCB1|uniprotkb:Q96T12|uniprotkb:Q9NQA7|uniprotkb:B4DRF4|intact:EBI-28973764|ensembl:ENSP00000261875.5|intact:EBI-359013|uniprotkb:Q9P035	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:hacd3_human(display_short)|psi-mi:"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"(display_long)|uniprotkb:HACD3(gene name)|uniprotkb:BIND1(gene name synonym)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:PTPLAD1(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Taguwa S. et al.(2008)	intact:EBI-9083149|pubmed:18160438|imex:IM-25834	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9083192|imex:IM-25834-5	intact-miscore:0.51
uniprotkb:Q9P035	uniprotkb:Q03463-PRO_0000278740	intact:EBI-1049123|uniprotkb:A0PJA1|uniprotkb:Q280Z3|uniprotkb:Q6PD63|uniprotkb:Q8IUI5|uniprotkb:Q8NC86|uniprotkb:Q8NCB1|uniprotkb:Q96T12|uniprotkb:Q9NQA7|uniprotkb:B4DRF4|intact:EBI-28973764|ensembl:ENSP00000261875.5|intact:EBI-359013|uniprotkb:Q9P035	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	psi-mi:hacd3_human(display_short)|psi-mi:"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"(display_long)|uniprotkb:HACD3(gene name)|uniprotkb:BIND1(gene name synonym)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:PTPLAD1(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Taguwa S. et al.(2008)	intact:EBI-9083149|pubmed:18160438|imex:IM-25834	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9083218|imex:IM-25834-9	intact-miscore:0.52
uniprotkb:Q03463-PRO_0000278740	uniprotkb:Q9P035	intact:EBI-8803426|uniprotkb:Q03463-PRO_0000278740	intact:EBI-1049123|uniprotkb:A0PJA1|uniprotkb:Q280Z3|uniprotkb:Q6PD63|uniprotkb:Q8IUI5|uniprotkb:Q8NC86|uniprotkb:Q8NCB1|uniprotkb:Q96T12|uniprotkb:Q9NQA7|uniprotkb:B4DRF4|intact:EBI-28973764|ensembl:ENSP00000261875.5|intact:EBI-359013|uniprotkb:Q9P035	psi-mi:q03463-pro_0000278740(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:hacd3_human(display_short)|psi-mi:"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3"(display_long)|uniprotkb:HACD3(gene name)|uniprotkb:BIND1(gene name synonym)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:PTPLAD1(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Taguwa S. et al.(2008)	intact:EBI-9083149|pubmed:18160438|imex:IM-25834	taxid:421877(hcvj1)|taxid:421877("Hepatitis C virus genotype 1b (isolate HC-J1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9083236|imex:IM-25834-11	intact-miscore:0.52
uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:Q9UGP8	intact:EBI-6863754|uniprotkb:Q9WMX2-PRO_0000037541	uniprotkb:O95380|uniprotkb:Q5THN4|uniprotkb:Q86VS9|uniprotkb:Q8IWL0|uniprotkb:Q9NTE0|ensembl:ENSP00000357998.4|intact:EBI-1045560|uniprotkb:Q9UGP8	psi-mi:q9wmx2-pro_0000037541(display_short)|psi-mi:Core protein precursor(display_long)	psi-mi:sec63_human(display_short)|psi-mi:Translocation protein SEC63 homolog(display_long)|uniprotkb:SEC63(gene name)|uniprotkb:DnaJ homolog subfamily C member 23(gene name synonym)|uniprotkb:DNAJC23(gene name synonym)|uniprotkb:SEC63L(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513187|imex:IM-26663-41	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037552	uniprotkb:P61289	intact:EBI-9005440|uniprotkb:Q9WMX2-PRO_0000037552	uniprotkb:O35563|uniprotkb:P97373|uniprotkb:Q12920|uniprotkb:Q13172|uniprotkb:Q9BQD9|uniprotkb:A8K9A3|ensembl:ENSP00000466794.1|intact:EBI-21352060|intact:EBI-355546|uniprotkb:P61289	psi-mi:q9wmx2-pro_0000037552(display_short)|psi-mi:RNA-directed RNA polymerase(display_long)	psi-mi:psme3_human(display_short)|psi-mi:Proteasome activator complex subunit 3(display_long)|uniprotkb:PSME3(gene name)|uniprotkb:Ki nuclear autoantigen(gene name synonym)|uniprotkb:11S regulator complex subunit gamma(gene name synonym)|uniprotkb:Activator of multicatalytic protease subunit 3(gene name synonym)|uniprotkb:Proteasome activator 28 subunit gamma(gene name synonym)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513489|imex:IM-26663-43	intact-miscore:0.35
uniprotkb:Q9WMX2-PRO_0000037548	uniprotkb:Q9NRA8	intact:EBI-6863741|uniprotkb:Q9WMX2-PRO_0000037548	uniprotkb:B1AKL2|uniprotkb:Q8NCF2|uniprotkb:Q9H708|uniprotkb:B2RBF1|intact:EBI-877635|uniprotkb:B1AKL3|ensembl:ENSP00000328103.5|ensembl:ENSP00000380659.1|intact:EBI-301024|uniprotkb:Q9NRA8	psi-mi:q9wmx2-pro_0000037548(display_short)|psi-mi:Serine protease/helicase NS3(display_long)	psi-mi:4et_human(display_short)|psi-mi:Eukaryotic translation initiation factor 4E transporter(display_long)|uniprotkb:EIF4ENIF1(gene name)|uniprotkb:Eukaryotic translation initiation factor 4E nuclear import factor 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	de Chassey B. et al.(2008)	intact:EBI-8874074|pubmed:18985028|imex:IM-25957	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(Host Pathogen Interaction database)	intact:EBI-9051089|imex:IM-25957-481	intact-miscore:0.57
